en-ginco
Removing 'Other' instances
Dataset shape:
(258, 5)
All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model                    | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|-----------:|-----------:|
| CORE register classifier | x-ginco        |      0.651 |      0.652 |

------------------------------------------

New benchmark scores:

| Model                    | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|-----------:|-----------:|
| CORE register classifier | en-ginco       |      0.593 |      0.613 |

------------------------------------------

| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Albanian   |      0.709 |      0.728 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Catalan    |      0.662 |      0.642 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Croatian   |      0.616 |      0.632 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | en-ginco       | English    |      0.593 |      0.613 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Greek      |      0.716 |      0.718 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Icelandic  |      0.556 |      0.584 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Macedonian |      0.637 |      0.675 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Maltese    |          0 |          0 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Slovenian  |      0.679 |      0.684 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Turkish    |       0.71 |      0.721 |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier | x-ginco        | Ukrainian  |      0.769 |      0.784 |
