All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model                  | Test Dataset   |   Macro F1 |   Micro F1 | Epochs   | Learning Rate   |
|:-----------------------|:---------------|-----------:|-----------:|:---------|:----------------|
| X-GENRE classifier     | x-ginco        |      0.847 |      0.845 |          |                 |
| gpt-4o-2024-08-06      | x-ginco        |      0.776 |      0.769 |          |                 |
| gpt-4o-mini-2024-07-18 | x-ginco        |      0.688 |      0.67  |          |                 |
| gpt-3.5-turbo-0125     | x-ginco        |      0.627 |      0.622 |          |                 |
| LOGISTICREGRESSION     | x-ginco        |      0.174 |      0.185 |          |                 |
| SVC                    | x-ginco        |      0.166 |      0.184 |          |                 |
| fastText               | x-ginco        |      0.156 |      0.179 |          |                 |
| COMPLEMENTNB           | x-ginco        |      0.143 |      0.171 |          |                 |
| dummy-stratified       | x-ginco        |      0.106 |      0.113 |          |                 |
| dummy-most_frequent    | x-ginco        |      0.029 |      0.133 |          |                 |

------------------------------------------

New benchmark scores:

| Model                  | Test Dataset   |   Macro F1 |   Micro F1 | Epochs   | Learning Rate   |
|:-----------------------|:---------------|-----------:|-----------:|:---------|:----------------|
| X-GENRE classifier     | en-ginco       |      0.687 |      0.684 |          |                 |
| gpt-4o-2024-08-06      | en-ginco       |      0.62  |      0.735 |          |                 |
| gpt-4o-mini-2024-07-18 | en-ginco       |      0.534 |      0.632 |          |                 |
| SVC                    | en-ginco       |      0.514 |      0.489 |          |                 |
| gpt-3.5-turbo-0125     | en-ginco       |      0.494 |      0.625 |          |                 |
| LOGISTICREGRESSION     | en-ginco       |      0.464 |      0.471 |          |                 |
| fastText               | en-ginco       |      0.408 |      0.445 |          |                 |
| COMPLEMENTNB           | en-ginco       |      0.289 |      0.36  |          |                 |
| dummy-stratified       | en-ginco       |      0.088 |      0.154 |          |                 |
| dummy-most_frequent    | en-ginco       |      0.032 |      0.169 |          |                 |

------------------------------------------

| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Albanian   |      0.854 |      0.85  |
| gpt-4o-2024-08-06      | x-ginco        | Albanian   |      0.771 |      0.767 |
| gpt-4o-mini-2024-07-18 | x-ginco        | Albanian   |      0.769 |      0.762 |
| gpt-3.5-turbo-0125     | x-ginco        | Albanian   |      0.665 |      0.675 |
| dummy-stratified       | x-ginco        | Albanian   |      0.097 |      0.102 |
| COMPLEMENTNB           | x-ginco        | Albanian   |      0.088 |      0.151 |
| LOGISTICREGRESSION     | x-ginco        | Albanian   |      0.058 |      0.15  |
| SVC                    | x-ginco        | Albanian   |      0.057 |      0.1   |
| fastText               | x-ginco        | Albanian   |      0.024 |      0.062 |
| dummy-most_frequent    | x-ginco        | Albanian   |      0.023 |      0.1   |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Catalan    |      0.786 |      0.785 |
| gpt-4o-2024-08-06      | x-ginco        | Catalan    |      0.769 |      0.75  |
| gpt-4o-mini-2024-07-18 | x-ginco        | Catalan    |      0.701 |      0.688 |
| gpt-3.5-turbo-0125     | x-ginco        | Catalan    |      0.658 |      0.654 |
| dummy-stratified       | x-ginco        | Catalan    |      0.146 |      0.139 |
| COMPLEMENTNB           | x-ginco        | Catalan    |      0.1   |      0.221 |
| SVC                    | x-ginco        | Catalan    |      0.077 |      0.112 |
| LOGISTICREGRESSION     | x-ginco        | Catalan    |      0.063 |      0.138 |
| fastText               | x-ginco        | Catalan    |      0.063 |      0.138 |
| dummy-most_frequent    | x-ginco        | Catalan    |      0.02  |      0.088 |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Croatian   |      0.894 |      0.9   |
| gpt-4o-2024-08-06      | x-ginco        | Croatian   |      0.783 |      0.8   |
| gpt-4o-mini-2024-07-18 | x-ginco        | Croatian   |      0.592 |      0.575 |
| gpt-3.5-turbo-0125     | x-ginco        | Croatian   |      0.571 |      0.581 |
| SVC                    | x-ginco        | Croatian   |      0.197 |      0.241 |
| fastText               | x-ginco        | Croatian   |      0.169 |      0.266 |
| COMPLEMENTNB           | x-ginco        | Croatian   |      0.139 |      0.214 |
| LOGISTICREGRESSION     | x-ginco        | Croatian   |      0.117 |      0.155 |
| dummy-stratified       | x-ginco        | Croatian   |      0.055 |      0.064 |
