en-ginco
Removing 'Other' instances
Dataset shape:
(258, 5)
All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model                                                                                                              | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        |      0.651 |      0.652 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        |      0.17  |      0.189 |
| fastText                                                                                                           | x-ginco        |      0.156 |      0.179 |
| dummy-stratified                                                                                                   | x-ginco        |      0.106 |      0.113 |
| dummy-most_frequent                                                                                                | x-ginco        |      0.029 |      0.133 |

------------------------------------------

New benchmark scores:

| Model                                                                                                              | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|-----------:|-----------:|
| CORE register classifier                                                                                           | en-ginco       |      0.593 |      0.613 |
| fastText                                                                                                           | en-ginco       |      0.459 |      0.474 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | en-ginco       |      0.16  |      0.231 |
| dummy-stratified                                                                                                   | en-ginco       |      0.102 |      0.166 |
| dummy-most_frequent                                                                                                | en-ginco       |      0.038 |      0.178 |

------------------------------------------

| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Albanian   |      0.709 |      0.728 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Albanian   |      0.207 |      0.213 |
| dummy-stratified                                                                                                   | x-ginco        | Albanian   |      0.097 |      0.102 |
| fastText                                                                                                           | x-ginco        | Albanian   |      0.024 |      0.062 |
| dummy-most_frequent                                                                                                | x-ginco        | Albanian   |      0.023 |      0.1   |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Catalan    |      0.662 |      0.642 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Catalan    |      0.168 |      0.187 |
| dummy-stratified                                                                                                   | x-ginco        | Catalan    |      0.146 |      0.139 |
| fastText                                                                                                           | x-ginco        | Catalan    |      0.063 |      0.138 |
| dummy-most_frequent                                                                                                | x-ginco        | Catalan    |      0.02  |      0.088 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Croatian   |      0.616 |      0.632 |
| fastText                                                                                                           | x-ginco        | Croatian   |      0.169 |      0.266 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Croatian   |      0.119 |      0.169 |
| dummy-stratified                                                                                                   | x-ginco        | Croatian   |      0.055 |      0.064 |
| dummy-most_frequent                                                                                                | x-ginco        | Croatian   |      0.025 |      0.112 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | en-ginco       | English    |      0.593 |      0.613 |
| fastText                                                                                                           | en-ginco       | English    |      0.459 |      0.474 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | en-ginco       | English    |      0.16  |      0.231 |
| dummy-stratified                                                                                                   | en-ginco       | English    |      0.102 |      0.166 |
| dummy-most_frequent                                                                                                | en-ginco       | English    |      0.038 |      0.178 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Greek      |      0.716 |      0.718 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Greek      |      0.196 |      0.2   |
| dummy-stratified                                                                                                   | x-ginco        | Greek      |      0.112 |      0.114 |
| fastText                                                                                                           | x-ginco        | Greek      |      0.095 |      0.138 |
| dummy-most_frequent                                                                                                | x-ginco        | Greek      |      0.028 |      0.125 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Icelandic  |      0.556 |      0.584 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Icelandic  |      0.171 |      0.201 |
| dummy-stratified                                                                                                   | x-ginco        | Icelandic  |      0.145 |      0.167 |
| fastText                                                                                                           | x-ginco        | Icelandic  |      0.052 |      0.105 |
| dummy-most_frequent                                                                                                | x-ginco        | Icelandic  |      0.033 |      0.15  |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Macedonian |      0.637 |      0.675 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Macedonian |      0.196 |      0.213 |
| fastText                                                                                                           | x-ginco        | Macedonian |      0.094 |      0.15  |
| dummy-stratified                                                                                                   | x-ginco        | Macedonian |      0.065 |      0.065 |
| dummy-most_frequent                                                                                                | x-ginco        | Macedonian |      0.033 |      0.15  |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Maltese    |      0.166 |      0.25  |
| fastText                                                                                                           | x-ginco        | Maltese    |      0.101 |      0.177 |
| dummy-stratified                                                                                                   | x-ginco        | Maltese    |      0.1   |      0.132 |
| dummy-most_frequent                                                                                                | x-ginco        | Maltese    |      0.053 |      0.229 |
| CORE register classifier                                                                                           | x-ginco        | Maltese    |      0     |      0     |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Slovenian  |      0.679 |      0.684 |
| fastText                                                                                                           | x-ginco        | Slovenian  |      0.422 |      0.436 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Slovenian  |      0.131 |      0.157 |
| dummy-stratified                                                                                                   | x-ginco        | Slovenian  |      0.128 |      0.143 |
| dummy-most_frequent                                                                                                | x-ginco        | Slovenian  |      0.028 |      0.125 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Turkish    |      0.71  |      0.721 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Turkish    |      0.164 |      0.203 |
| dummy-stratified                                                                                                   | x-ginco        | Turkish    |      0.129 |      0.14  |
| fastText                                                                                                           | x-ginco        | Turkish    |      0.092 |      0.126 |
| dummy-most_frequent                                                                                                | x-ginco        | Turkish    |      0.03  |      0.138 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| CORE register classifier                                                                                           | x-ginco        | Ukrainian  |      0.769 |      0.784 |
| fastText                                                                                                           | x-ginco        | Ukrainian  |      0.117 |      0.184 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Ukrainian  |      0.066 |      0.101 |
| dummy-stratified                                                                                                   | x-ginco        | Ukrainian  |      0.056 |      0.064 |
| dummy-most_frequent                                                                                                | x-ginco        | Ukrainian  |      0.028 |      0.125 |
