All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model               | Test Dataset   |   Macro F1 |   Micro F1 | Epochs   | Learning Rate   |
|:--------------------|:---------------|-----------:|-----------:|:---------|:----------------|
| LOGISTICREGRESSION  | x-ginco        |      0.174 |      0.185 |          |                 |
| SVC                 | x-ginco        |      0.166 |      0.184 |          |                 |
| COMPLEMENTNB        | x-ginco        |      0.143 |      0.171 |          |                 |
| dummy-stratified    | x-ginco        |      0.106 |      0.113 |          |                 |
| dummy-most_frequent | x-ginco        |      0.029 |      0.133 |          |                 |

------------------------------------------

New benchmark scores:

| Model               | Test Dataset   |   Macro F1 |   Micro F1 | Epochs   | Learning Rate   |
|:--------------------|:---------------|-----------:|-----------:|:---------|:----------------|
| SVC                 | en-ginco       |      0.514 |      0.489 |          |                 |
| LOGISTICREGRESSION  | en-ginco       |      0.464 |      0.471 |          |                 |
| COMPLEMENTNB        | en-ginco       |      0.289 |      0.36  |          |                 |
| dummy-stratified    | en-ginco       |      0.088 |      0.154 |          |                 |
| dummy-most_frequent | en-ginco       |      0.032 |      0.169 |          |                 |

------------------------------------------

| Model               | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:--------------------|:---------------|:-----------|-----------:|-----------:|
| dummy-stratified    | x-ginco        | Albanian   |      0.097 |      0.102 |
| COMPLEMENTNB        | x-ginco        | Albanian   |      0.088 |      0.151 |
| LOGISTICREGRESSION  | x-ginco        | Albanian   |      0.058 |      0.15  |
| SVC                 | x-ginco        | Albanian   |      0.057 |      0.1   |
| dummy-most_frequent | x-ginco        | Albanian   |      0.023 |      0.1   |
| Model               | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:--------------------|:---------------|:-----------|-----------:|-----------:|
| dummy-stratified    | x-ginco        | Catalan    |      0.146 |      0.139 |
| COMPLEMENTNB        | x-ginco        | Catalan    |      0.1   |      0.221 |
| SVC                 | x-ginco        | Catalan    |      0.077 |      0.112 |
| LOGISTICREGRESSION  | x-ginco        | Catalan    |      0.063 |      0.138 |
| dummy-most_frequent | x-ginco        | Catalan    |      0.02  |      0.088 |
| Model               | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:--------------------|:---------------|:-----------|-----------:|-----------:|
| SVC                 | x-ginco        | Croatian   |      0.197 |      0.241 |
| COMPLEMENTNB        | x-ginco        | Croatian   |      0.139 |      0.214 |
