All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model                    | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|-----------:|-----------:|
| X-GENRE classifier       | x-ginco        |      0.848 |      0.845 |
| GPT-4o                   | x-ginco        |      0.796 |      0.79  |
| Gemini 2.5 Flash         | x-ginco        |      0.792 |      0.782 |
| Llama 3.3                | x-ginco        |      0.783 |      0.776 |
| Gemini 2.5 Pro           | x-ginco        |      0.777 |      0.772 |
| Mistral Medium 3.1       | x-ginco        |      0.769 |      0.768 |
| GPT-5-mini               | x-ginco        |      0.762 |      0.751 |
| GPT-5-nano               | x-ginco        |      0.753 |      0.733 |
| Gemma 3                  | x-ginco        |      0.741 |      0.727 |
| GPT-4o-mini              | x-ginco        |      0.716 |      0.706 |
| Qwen3                    | x-ginco        |      0.678 |      0.664 |
| CORE register classifier | x-ginco        |      0.651 |      0.652 |
| GPT-3.5-Turbo            | x-ginco        |      0.558 |      0.547 |
| DeekSeek-R1              | x-ginco        |      0.43  |      0.439 |
| GaMS-Instruct 27B        | x-ginco        |      0.354 |      0.365 |
| LOGISTICREGRESSION       | x-ginco        |      0.174 |      0.185 |
| NLI zero-shot model      | x-ginco        |      0.17  |      0.189 |
| SVC                      | x-ginco        |      0.166 |      0.184 |
| fastText                 | x-ginco        |      0.156 |      0.179 |
| COMPLEMENTNB             | x-ginco        |      0.143 |      0.171 |
| dummy-stratified         | x-ginco        |      0.106 |      0.113 |
| dummy-most_frequent      | x-ginco        |      0.029 |      0.133 |

------------------------------------------

New benchmark scores:

| Model                    | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|-----------:|-----------:|
| GPT-5-mini               | en-ginco       |      0.88  |      0.833 |
| GPT-5                    | en-ginco       |      0.835 |      0.833 |
| Gemini 2.5 Flash         | en-ginco       |      0.792 |      0.81  |
| Gemini 2.5 Pro           | en-ginco       |      0.787 |      0.814 |
| X-GENRE classifier       | en-ginco       |      0.752 |      0.71  |
| GPT-4o                   | en-ginco       |      0.747 |      0.767 |
| Mistral Medium 3.1       | en-ginco       |      0.724 |      0.779 |
| Gemma 3                  | en-ginco       |      0.712 |      0.74  |
| Llama 3.3                | en-ginco       |      0.704 |      0.767 |
| GPT-4o-mini              | en-ginco       |      0.695 |      0.686 |
| GPT-5-nano               | en-ginco       |      0.694 |      0.729 |
| Qwen3                    | en-ginco       |      0.604 |      0.661 |
| CORE register classifier | en-ginco       |      0.593 |      0.613 |
| SVC                      | en-ginco       |      0.572 |      0.512 |
| GPT-3.5-Turbo            | en-ginco       |      0.566 |      0.649 |
| LOGISTICREGRESSION       | en-ginco       |      0.509 |      0.494 |
| fastText                 | en-ginco       |      0.459 |      0.474 |
| DeekSeek-R1              | en-ginco       |      0.412 |      0.507 |
| GaMS-Instruct 27B        | en-ginco       |      0.337 |      0.416 |
| COMPLEMENTNB             | en-ginco       |      0.336 |      0.38  |
| NLI zero-shot model      | en-ginco       |      0.16  |      0.231 |
| dummy-stratified         | en-ginco       |      0.102 |      0.166 |
| dummy-most_frequent      | en-ginco       |      0.038 |      0.178 |

------------------------------------------

| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier       | x-ginco        | Albanian   |      0.854 |      0.85  |
| GPT-5-nano               | x-ginco        | Albanian   |      0.803 |      0.8   |
| GPT-4o                   | x-ginco        | Albanian   |      0.777 |      0.775 |
| Gemini 2.5 Flash         | x-ginco        | Albanian   |      0.771 |      0.775 |
| Gemini 2.5 Pro           | x-ginco        | Albanian   |      0.767 |      0.762 |
| Mistral Medium 3.1       | x-ginco        | Albanian   |      0.758 |      0.762 |
| Gemma 3                  | x-ginco        | Albanian   |      0.746 |      0.755 |
| Qwen3                    | x-ginco        | Albanian   |      0.742 |      0.739 |
| GPT-4o-mini              | x-ginco        | Albanian   |      0.734 |      0.738 |
| GPT-5-mini               | x-ginco        | Albanian   |      0.728 |      0.725 |
| CORE register classifier | x-ginco        | Albanian   |      0.709 |      0.728 |
| GPT-3.5-Turbo            | x-ginco        | Albanian   |      0.699 |      0.7   |
| Llama 3.3                | x-ginco        | Albanian   |      0.69  |      0.688 |
| DeekSeek-R1              | x-ginco        | Albanian   |      0.485 |      0.504 |
| GaMS-Instruct 27B        | x-ginco        | Albanian   |      0.358 |      0.4   |
| NLI zero-shot model      | x-ginco        | Albanian   |      0.207 |      0.213 |
| dummy-stratified         | x-ginco        | Albanian   |      0.097 |      0.102 |
| COMPLEMENTNB             | x-ginco        | Albanian   |      0.088 |      0.151 |
| LOGISTICREGRESSION       | x-ginco        | Albanian   |      0.058 |      0.15  |
| SVC                      | x-ginco        | Albanian   |      0.057 |      0.1   |
| fastText                 | x-ginco        | Albanian   |      0.024 |      0.062 |
| dummy-most_frequent      | x-ginco        | Albanian   |      0.023 |      0.1   |
| Model                    | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------|:---------------|:-----------|-----------:|-----------:|
| Gemma 3                  | x-ginco        | Catalan    |      0.844 |      0.825 |
| Mistral Medium 3.1       | x-ginco        | Catalan    |      0.827 |      0.812 |
| GPT-4o                   | x-ginco        | Catalan    |      0.813 |      0.8   |
| Llama 3.3                | x-ginco        | Catalan    |      0.812 |      0.8   |
| Gemini 2.5 Flash         | x-ginco        | Catalan    |      0.804 |      0.788 |
| X-GENRE classifier       | x-ginco        | Catalan    |      0.788 |      0.788 |
| Gemini 2.5 Pro           | x-ginco        | Catalan    |      0.787 |      0.762 |
| GPT-5-nano               | x-ginco        | Catalan    |      0.781 |      0.762 |
| GPT-5-mini               | x-ginco        | Catalan    |      0.776 |      0.762 |
| Qwen3                    | x-ginco        | Catalan    |      0.726 |      0.717 |
| GPT-4o-mini              | x-ginco        | Catalan    |      0.698 |      0.712 |
| CORE register classifier | x-ginco        | Catalan    |      0.662 |      0.642 |
| GPT-3.5-Turbo            | x-ginco        | Catalan    |      0.587 |      0.6   |
| DeekSeek-R1              | x-ginco        | Catalan    |      0.523 |      0.547 |
| GaMS-Instruct 27B        | x-ginco        | Catalan    |      0.412 |      0.43  |
| NLI zero-shot model      | x-ginco        | Catalan    |      0.168 |      0.187 |
| dummy-stratified         | x-ginco        | Catalan    |      0.146 |      0.139 |
| COMPLEMENTNB             | x-ginco        | Catalan    |      0.1   |      0.221 |
