en-ginco
Removing 'Other' instances
Dataset shape:
(258, 5)
All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model                                                                                                              | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        |      0.848 |      0.845 |
| CORE register classifier                                                                                           | x-ginco        |      0.651 |      0.652 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        |      0.174 |      0.185 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        |      0.17  |      0.189 |
| SVC                                                                                                                | x-ginco        |      0.166 |      0.184 |
| fastText                                                                                                           | x-ginco        |      0.156 |      0.179 |
| COMPLEMENTNB                                                                                                       | x-ginco        |      0.143 |      0.171 |
| dummy-stratified                                                                                                   | x-ginco        |      0.106 |      0.113 |
| dummy-most_frequent                                                                                                | x-ginco        |      0.029 |      0.133 |

------------------------------------------

New benchmark scores:

| Model                                                                                                              | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | en-ginco       |      0.752 |      0.71  |
| CORE register classifier                                                                                           | en-ginco       |      0.593 |      0.613 |
| SVC                                                                                                                | en-ginco       |      0.572 |      0.512 |
| LOGISTICREGRESSION                                                                                                 | en-ginco       |      0.509 |      0.494 |
| fastText                                                                                                           | en-ginco       |      0.459 |      0.474 |
| COMPLEMENTNB                                                                                                       | en-ginco       |      0.336 |      0.38  |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | en-ginco       |      0.16  |      0.231 |
| dummy-stratified                                                                                                   | en-ginco       |      0.102 |      0.166 |
| dummy-most_frequent                                                                                                | en-ginco       |      0.038 |      0.178 |

------------------------------------------

| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Albanian   |      0.854 |      0.85  |
| CORE register classifier                                                                                           | x-ginco        | Albanian   |      0.709 |      0.728 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Albanian   |      0.207 |      0.213 |
| dummy-stratified                                                                                                   | x-ginco        | Albanian   |      0.097 |      0.102 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Albanian   |      0.088 |      0.151 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Albanian   |      0.058 |      0.15  |
| SVC                                                                                                                | x-ginco        | Albanian   |      0.057 |      0.1   |
| fastText                                                                                                           | x-ginco        | Albanian   |      0.024 |      0.062 |
| dummy-most_frequent                                                                                                | x-ginco        | Albanian   |      0.023 |      0.1   |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Catalan    |      0.788 |      0.788 |
| CORE register classifier                                                                                           | x-ginco        | Catalan    |      0.662 |      0.642 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Catalan    |      0.168 |      0.187 |
| dummy-stratified                                                                                                   | x-ginco        | Catalan    |      0.146 |      0.139 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Catalan    |      0.1   |      0.221 |
| SVC                                                                                                                | x-ginco        | Catalan    |      0.077 |      0.112 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Catalan    |      0.063 |      0.138 |
| fastText                                                                                                           | x-ginco        | Catalan    |      0.063 |      0.138 |
| dummy-most_frequent                                                                                                | x-ginco        | Catalan    |      0.02  |      0.088 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Croatian   |      0.894 |      0.9   |
| CORE register classifier                                                                                           | x-ginco        | Croatian   |      0.616 |      0.632 |
| SVC                                                                                                                | x-ginco        | Croatian   |      0.197 |      0.241 |
